CORTE,SECTOR / ZONA,ACTIVIDAD,FAMILIA,VENCE,EST,CAL,CAMP,AMB,BIM,SSOMA,OTROS,CHECKS PENDIENTES,TOTAL CHECKS,ANTIGUEDAD (dias),MARCADA,CLAVE ORDEN,LISTA TRELLO,DIA DEL CORTE,ESTADO,LINK TRELLO
2026-09-24 15:22,1CS16,ACERO SUPERIOR EN ZAPATAS,Acero,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0001,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/aBxdxIH5
2026-09-24 15:22,1CS18,ACERO INFERIOR EN ZAPATAS,Acero,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0002,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/v4Cv5KvN
2026-09-24 15:22,1CS18,ACERO DE VIGA DE CIMENTACIÓN,Acero,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0003,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/3BbevOtz
2026-09-24 15:22,1CS18,ACERO SUPERIOR EN ZAPATAS,Acero,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0004,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/drQHoX6C
2026-09-24 15:22,1PS11,ACERO EN LOSA,Acero,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0005,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/xo4i3gLi
2026-09-24 15:22,1PS11,ACERO EN VIGAS,Acero,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0006,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/SIt1dgkU
2026-09-24 15:22,1PS19,ACERO DE LOSA,Acero,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0007,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/nxS3r0Py
2026-09-24 15:22,1PS20,ACERO VERTICAL DE SARDINEL,Acero,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0008,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/4ah4Rbis
2026-09-24 15:22,1PS21,ACERO DE VIGAS,Acero,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0009,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/B589l85s
2026-09-24 15:22,1PS21,ACERO DE LOSA,Acero,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.001,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/WWjiNMQM
2026-09-24 15:22,1PS4,ACERO DE TEMPERATURA,Acero,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0011,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/8ul5jvNx
2026-09-24 15:22,1PS23,ACERO DE VIGAS,Acero,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0012,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/eN5hO49P
2026-09-24 15:22,1PS6,ACERO 2DO TRAMO,Acero,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0013,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/OZtSiULy
2026-09-24 15:22,1PS5,ACERO EN LOSA,Acero,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0014,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/dVbEwtpX
2026-09-24 15:22,1PS6,ACERO DE TEMPERATURA,Acero,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0015,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/jSUjlmQJ
2026-09-24 15:22,1PS6,ACERO 1ER TRAMO,Acero,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0016,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/39h8KSTx
2026-09-24 15:22,1PS9,ACERO EN VIGAS,Acero,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0017,T. POR CERRAR - ACERO,AYER Y ANTES,POR CERRAR,https://trello.com/c/ILoOij3M
